"","x"
"GSM445939",1
"GSM445940",2
"GSM445952",1
"GSM445965",1
"GSM445966",1
"GSM445995",1
"GSM446005",2
"GSM446015",1
"GSM446019",1
"GSM446020",2
"GSM446030",2
"GSM446032",1
"GSM446033",1
"GSM446035",1
"GSM446036",1
"GSM446037",2
"GSM446038",1
"GSM446039",1
"GSM446047",1
"GSM446056",1
"GSM446088",1
"GSM446102",1
"GSM446119",1
"GSM446120",1
"GSM446127",1
"GSM446143",1
"GSM446147",1
"GSM445923",3
"GSM446023",3
"GSM446027",3
"GSM446058",3
"GSM446059",3
"GSM446096",3
"GSM446099",3
"GSM446115",3
"GSM446117",3
"GSM446118",3
"GSM446124",3
"GSM446130",3
"GSM446137",3
"GSM446140",3
"GSM446142",3
"GSM446145",3
"GSM446148",3
"GSM446149",3
"GSM446151",3
"GSM445922",2
"GSM445935",2
"GSM445938",2
"GSM445943",2
"GSM445950",2
"GSM445959",2
"GSM445964",2
"GSM445970",2
"GSM445972",2
"GSM445983",2
"GSM445989",2
"GSM445990",2
"GSM446010",2
"GSM446017",2
"GSM446025",2
"GSM446034",2
"GSM446051",2
"GSM446054",2
"GSM446055",2
"GSM446057",2
"GSM446066",2
"GSM446067",2
"GSM446123",1
"GSM446125",2
"GSM446128",2
"GSM446129",2
"GSM446139",2
"GSM446146",1
