"","x"
"GSM158714",1
"GSM158725",1
"GSM158742",1
"GSM158791",1
"GSM158803",1
"GSM158830",1
"GSM158839",1
"GSM158877",1
"GSM158888",1
"GSM158900",1
"GSM158904",1
"GSM158914",1
"GSM158918",1
"GSM158919",1
"GSM158922",1
"GSM158923",1
"GSM158931",1
"GSM158945",1
"GSM158959",1
"GSM158993",1
"GSM158999",1
"GSM159006",1
"GSM159012",1
"GSM159026",1
"GSM159031",1
"GSM159059",1
"GSM159061",1
"GSM159084",1
"GSM159124",1
"GSM159137",1
"GSM159149",1
"GSM159161",2
"GSM159166",1
"GSM158728",3
"GSM158773",3
"GSM158811",3
"GSM158812",3
"GSM158813",3
"GSM158841",3
"GSM158849",3
"GSM158851",3
"GSM158853",3
"GSM158859",3
"GSM158860",3
"GSM158863",3
"GSM158885",3
"GSM158890",3
"GSM158920",3
"GSM158921",3
"GSM158926",2
"GSM159111",3
"GSM159142",3
"GSM159143",3
"GSM159147",3
"GSM158712",2
"GSM158716",2
"GSM158719",2
"GSM158721",2
"GSM158722",2
"GSM158750",2
"GSM158752",2
"GSM158781",2
"GSM158799",2
"GSM158810",2
"GSM158814",2
"GSM158861",2
"GSM158873",2
"GSM158878",2
"GSM158899",2
"GSM158905",2
"GSM158906",2
"GSM158911",1
"GSM158912",2
"GSM158925",2
"GSM158927",2
"GSM158966",2
"GSM158970",2
"GSM158982",2
"GSM158984",2
"GSM158985",2
"GSM159005",2
"GSM159032",2
"GSM159037",2
"GSM159050",2
"GSM159068",2
"GSM159081",2
"GSM159097",2
"GSM159105",2
"GSM159110",2
